"","removed_ids"
"1","2024-06-30 10:05:00|Monitor21.txt|08"
"2","2024-06-30 10:05:00|Monitor21.txt|12"
"3","2024-06-30 10:05:00|Monitor23.txt|12"
"4","2024-06-30 10:05:00|Monitor24.txt|02"
"5","2024-06-30 10:05:00|Monitor24.txt|28"
"6","2024-06-30 10:05:00|Monitor25.txt|05"
"7","2024-06-30 10:05:00|Monitor25.txt|20"
"8","2024-06-30 10:05:00|Monitor26.txt|01"
"9","2024-06-30 10:05:00|Monitor26.txt|05"
"10","2024-06-30 10:05:00|Monitor26.txt|10"
"11","2024-06-30 10:05:00|Monitor26.txt|11"
"12","2024-06-30 10:05:00|Monitor26.txt|15"
"13","2024-06-30 10:05:00|Monitor27.txt|05"
"14","2024-06-30 10:05:00|Monitor27.txt|26"
